200	10
499	506	0.6
41	7766	1.5
303	3613	0.6
267	2689	0.6
444	2476	1.3
46	6388	1.0
62	4574	0.5
499	6445	0.7
362	198	0.5
474	2629	0.7
423	5025	1.3
323	1835	1.1
26	4666	0.7
333	4158	1.0
281	6150	1.1
82	425	1.3
41	2464	0.9
392	1708	0.5
137	3305	1.3
349	8068	0.9
96	1594	1.5
397	5318	0.9
99	8066	1.4
479	6026	0.5
225	4483	0.7
156	5718	0.6
442	8345	1.4
62	8314	1.5
490	6592	1.1
101	238	1.4
276	710	1.3
498	717	0.5
267	5677	1.4
182	28	1.5
112	6445	1.4
183	8013	1.2
46	2535	0.9
216	6784	0.7
384	3889	1.5
36	2444	1.1
435	3472	0.9
30	1755	0.6
215	7794	1.2
362	761	1.5
264	5332	1.2
34	2429	0.9
480	1432	1.5
273	4105	1.1
487	6921	0.7
56	2890	1.1
452	2599	1.2
158	2017	1.2
283	2471	0.6
64	4409	0.7
99	2845	0.8
437	5677	0.7
46	969	1.1
134	2691	0.8
300	2267	0.6
82	4042	0.5
167	1808	1.2
269	3937	0.8
55	5214	1.3
133	1184	1.4
298	4170	1.3
430	3318	1.4
470	6028	1.1
208	3304	0.7
5	5811	1.0
386	6463	0.7
61	6563	1.2
227	4525	0.8
493	1455	0.9
248	2317	1.3
186	2224	0.7
342	7926	0.6
321	3653	0.5
293	1588	0.5
148	3457	1.2
304	4944	1.0
269	3945	0.5
433	7154	0.6
258	4231	1.3
254	8382	1.1
303	6350	0.9
448	5419	1.3
414	6454	0.6
174	3356	0.7
278	628	1.3
335	4607	0.6
487	3443	0.8
472	3844	0.9
335	7360	0.5
384	7386	1.4
71	6214	1.1
453	3520	1.3
132	3466	1.0
343	2598	0.9
372	7300	1.1
141	186	0.9
353	3017	1.4
275	6299	1.5
314	7853	1.1
201	61	1.0
158	1165	0.6
474	1679	0.8
128	2767	1.3
441	4830	0.6
499	5631	1.5
50	1261	0.7
495	7546	1.4
122	5343	0.6
466	6397	1.3
27	5368	1.4
23	4868	1.2
71	1639	0.6
101	7226	0.6
88	4629	0.7
117	3780	1.1
327	5995	0.7
332	3261	1.2
301	2136	1.4
27	5457	0.5
296	6676	1.1
462	3131	1.4
460	1420	0.8
134	1264	0.5
164	285	0.9
387	5004	1.0
374	3042	0.9
264	7058	1.4
48	3193	0.8
452	8227	0.6
242	6381	0.7
68	7478	0.9
103	7138	0.9
129	3586	0.7
444	620	0.8
289	7338	1.5
102	7883	0.6
429	7033	1.1
387	293	0.6
435	5084	1.3
188	4816	1.1
234	4299	1.1
236	212	1.1
172	1438	1.4
307	7981	0.9
456	5654	1.3
163	5933	1.1
486	974	1.3
50	836	0.9
195	2632	0.6
464	6161	0.9
392	2154	0.9
379	4408	1.1
342	770	0.6
147	1287	1.3
261	778	1.4
486	6348	1.1
259	4191	0.7
364	4836	1.1
45	2365	0.8
259	1371	0.8
493	77	1.3
287	6010	0.9
452	1219	1.1
95	7356	0.6
183	3663	1.1
286	3328	1.3
370	5713	1.2
36	1213	1.3
71	1785	0.8
28	5135	1.0
84	319	1.4
479	8389	1.5
309	6837	0.8
346	6181	1.3
81	7936	0.9
425	4510	1.4
469	352	0.9
494	4039	0.7
500	248	0.7
10	5833	1.1
436	3266	1.3
145	5778	0.6
9	4442	0.8
314	7019	1.1
99	1683	1.4
238	4647	0.7
168	2836	0.6
152	92	1.1
20	7191	1.4
45	3179	1.5
69	7343	0.5
372	1879	0.6
493	5768	0.7
51	3698	0.8
298	6121	0.9
352	4623	0.8
1	85	35	43	7	3	49	56	4	81
46	43	9	86	42	47	55	67	62	23
52	19	16	98	76	4	0	13	91	7
78	60	15	40	38	30	28	60	14	91
15	8	5	99	68	56	29	79	36	43
39	74	22	11	20	80	52	8	7	92
83	65	37	65	100	33	86	18	56	71
89	83	99	68	4	22	61	8	21	33
28	46	57	49	90	3	60	52	66	63
64	20	27	60	100	13	97	62	8	32
41	8	78	37	72	40	30	78	22	60
94	14	44	62	80	76	99	82	99	45
55	86	41	12	6	75	47	86	90	100
8	98	26	75	5	8	90	82	36	31
80	57	34	80	38	55	41	83	86	61
19	42	95	73	74	88	91	16	76	15
1	1	48	48	43	97	11	8	49	27
40	51	50	73	48	39	4	68	37	2
81	85	16	79	2	100	63	66	42	24
99	90	99	99	60	15	13	33	47	98
87	92	26	11	41	7	57	57	77	20
31	72	100	23	3	43	34	18	77	70
16	63	45	48	85	0	37	38	52	68
85	93	82	67	45	86	51	93	96	49
31	12	52	27	52	76	6	80	89	60
48	28	54	26	58	85	5	96	43	57
61	14	8	62	50	21	11	54	70	84
15	85	85	20	94	13	36	71	70	82
5	33	74	71	93	36	97	44	48	49
5	14	36	14	20	28	53	3	6	99
77	68	86	87	92	99	17	73	42	62
52	100	63	25	19	31	55	42	37	26
39	4	15	58	63	37	35	67	89	40
77	2	42	60	89	31	52	82	47	56
52	34	27	34	81	1	12	45	57	23
70	85	46	86	32	36	16	80	87	4
99	35	35	55	27	0	22	48	1	80
76	12	34	98	86	40	21	4	49	52
5	85	1	24	77	92	80	3	63	69
22	24	63	71	60	46	83	60	0	18
20	82	59	98	53	94	33	25	84	56
91	96	98	61	55	2	81	1	48	14
60	57	5	59	2	7	94	72	52	37
55	78	26	57	19	68	59	90	91	51
10	56	63	21	20	15	66	33	48	72
92	28	55	27	15	99	81	84	46	28
67	59	30	14	80	49	46	86	97	81
96	32	84	82	58	78	52	37	89	81
7	36	32	8	87	90	47	82	100	16
93	16	51	80	88	70	81	84	91	12
99	93	0	35	28	89	34	17	61	45
94	63	30	9	57	19	84	83	10	2
3	0	72	40	18	82	3	40	72	61
75	17	89	76	73	80	5	11	13	96
7	87	63	50	27	81	16	29	66	71
32	9	75	8	92	5	75	76	71	71
33	62	83	70	83	12	97	41	21	62
85	70	41	37	99	68	51	19	28	10
42	51	53	0	39	92	23	23	15	1
98	64	87	45	65	42	87	9	72	45
20	30	4	1	2	99	15	94	95	74
78	37	14	44	30	30	62	80	3	5
24	25	7	73	97	45	37	11	95	4
14	72	87	84	91	57	23	3	46	58
91	68	12	88	75	0	37	5	49	80
36	68	80	43	38	6	66	78	82	57
96	62	53	54	49	70	30	1	24	9
36	43	13	5	48	43	3	0	63	85
46	78	89	32	49	78	47	23	39	35
47	61	65	75	34	77	73	13	74	8
19	4	50	89	77	69	64	87	75	51
10	81	42	36	97	18	90	82	3	37
100	88	44	10	73	65	21	82	65	16
39	49	11	4	64	82	35	17	6	6
52	86	0	60	62	97	59	52	49	33
94	14	75	85	53	92	76	80	92	59
75	59	8	2	93	53	74	67	87	88
87	92	88	70	67	40	77	81	41	64
68	41	19	76	29	52	18	99	24	98
37	54	90	1	30	48	49	22	89	41
66	98	83	37	27	93	63	95	94	85
75	84	75	40	98	93	71	97	50	26
57	24	68	67	40	80	18	70	56	11
33	52	49	40	37	39	5	74	53	48
64	86	56	46	91	96	63	92	46	100
22	71	6	93	7	48	96	10	52	53
78	49	49	2	56	88	58	98	49	63
21	78	77	37	47	92	26	99	62	52
42	22	79	36	92	64	97	3	67	86
77	89	72	92	92	49	43	90	18	14
74	33	64	15	63	72	77	59	84	70
60	5	89	5	23	25	26	28	91	90
4	77	2	68	84	22	34	100	10	76
60	96	87	91	96	47	94	0	38	93
55	57	37	38	55	66	31	46	10	4
61	18	1	33	7	88	52	55	63	16
97	53	88	52	86	65	45	8	83	11
90	41	21	37	89	87	50	99	39	8
39	37	95	54	89	84	32	46	5	28
83	14	83	4	71	94	59	18	57	91
81	71	58	55	59	15	25	44	25	78
51	27	96	1	94	13	40	33	84	46
61	13	12	61	89	94	47	37	85	38
92	38	83	25	31	87	29	24	75	55
71	56	36	19	53	100	77	67	70	65
37	93	29	4	86	79	75	62	18	1
34	40	25	48	22	96	68	94	90	24
79	16	18	63	30	4	78	61	78	39
32	43	30	94	10	28	54	40	45	28
53	6	66	70	50	70	74	84	88	35
83	3	96	79	41	6	33	5	23	45
46	5	20	5	68	61	95	37	82	75
42	90	85	79	31	100	72	7	53	69
79	76	46	81	99	48	51	73	10	49
38	38	46	97	72	72	20	9	63	13
51	61	47	20	11	44	73	29	14	16
15	9	95	80	6	0	77	80	1	26
96	64	57	56	60	96	63	38	22	56
88	64	59	34	86	76	98	36	20	88
16	7	57	39	53	18	81	36	37	85
88	9	86	84	8	40	82	37	8	79
77	22	32	28	19	81	22	87	75	87
99	33	31	42	15	73	38	62	76	90
98	26	44	43	43	43	10	61	26	11
68	47	50	31	48	72	58	41	61	62
38	34	20	50	29	36	69	1	0	87
92	90	96	21	45	26	97	82	71	20
18	62	38	73	74	10	79	87	21	7
47	91	50	18	89	51	96	59	34	96
55	72	16	95	82	39	7	35	41	42
90	43	3	82	59	66	48	91	61	97
68	25	69	37	36	83	99	78	32	32
73	2	83	100	30	90	25	2	89	25
36	67	56	86	38	20	8	12	35	4
17	50	73	97	52	47	91	75	35	0
54	30	83	49	31	53	3	90	8	88
85	30	8	6	51	31	99	80	7	78
65	89	66	26	27	72	65	42	71	43
75	15	95	84	4	38	11	21	97	37
29	22	34	60	47	11	46	91	75	15
16	5	34	83	10	30	37	56	15	23
2	42	84	50	0	72	19	54	2	96
61	0	3	91	16	4	11	35	1	5
72	33	35	17	1	29	49	97	25	10
51	67	73	25	18	56	37	29	48	56
47	70	40	80	59	26	49	31	21	37
71	43	10	97	8	12	95	75	70	89
29	44	64	32	39	54	27	17	82	45
53	83	55	41	66	0	43	19	92	86
68	77	98	99	29	18	15	69	4	67
50	96	2	23	82	51	21	90	48	42
30	58	37	50	0	11	61	17	15	9
46	93	2	18	14	98	79	66	82	41
90	59	59	37	12	67	77	39	7	98
10	71	93	64	44	55	24	83	41	14
54	92	53	52	45	28	45	91	29	60
69	65	73	5	56	60	46	45	59	86
47	46	33	68	96	8	58	69	33	63
10	0	51	15	94	46	81	77	5	59
63	74	84	51	44	65	90	39	2	82
82	60	60	6	26	28	80	92	2	43
99	61	64	16	14	80	91	31	61	38
1	11	80	34	69	90	56	99	3	77
98	56	37	9	29	55	92	75	1	68
44	7	57	90	89	27	68	39	6	45
0	87	27	84	96	20	10	50	30	71
26	4	62	97	59	59	4	68	19	59
36	42	87	69	11	67	59	30	50	0
45	0	82	3	72	41	39	67	36	78
52	51	81	82	44	89	19	12	99	27
93	58	71	76	80	12	31	10	44	48
16	25	51	92	53	70	11	78	59	59
11	98	73	7	80	97	6	68	34	52
93	16	84	80	9	80	7	2	51	43
1	32	38	26	7	88	26	72	13	12
16	35	43	11	9	16	26	64	27	25
59	36	33	22	56	59	73	20	100	81
70	90	80	62	100	70	42	38	81	99
37	96	88	89	81	1	44	53	13	26
100	3	89	2	32	37	64	59	95	16
24	66	52	81	16	45	4	75	19	70
61	42	33	4	67	64	12	25	26	99
26	58	34	99	59	69	65	52	50	72
27	39	90	57	31	46	43	18	69	15
46	87	77	98	39	44	64	61	68	21
70	36	40	57	56	60	48	27	76	65
52	16	37	15	46	30	1	21	79	44
26	17	70	74	3	62	86	49	1	29
16	4	53	53	20	52	5	91	73	52
73	76	94	39	6	23	83	39	27	44
35	16	25	59	79	92	83	37	96	79
20	76	69	66	21	37	22	100	39	45
92	92	29	86	93	17	33	92	32	16
36	57	14	54	30	73	1	79	21	28
80	25	76	58	76	80	87	82	95	83
29	33	3	75	87	3	56	55	30	8
65	73	20	2	7	5	21	44	6	54
92	43	40	5	40	87	30	95	24	84
73	15	64	15	48	8	48	36	82	83
27	8	93	96	40	28	98	48	95	10
